geo_value,time_value,change_health,hospital_admit,doc_visits,ground_truth,ground_truth+1,change_health-1,hospital_admit-1,doc_visits-1
06039,2020-03-03,0.056022,0.1979663076923077,0.0,0.0,0.0,0.056115,0.17915015384615382,0.0
06041,2020-03-03,0.037042,0.1979663076923077,0.0,0.0,0.0,0.037999,0.17915015384615382,0.0
06043,2020-03-03,0.305576,0.1979663076923077,0.11202643589743591,0.0,0.0,0.310039,0.17915015384615382,0.10891543589743588
06045,2020-03-03,0.085882,0.1979663076923077,0.0,0.0,0.0,0.087626,0.17915015384615382,0.0
06047,2020-03-03,0.049613,0.1979663076923077,0.0,0.0,0.0,0.048968,0.17915015384615382,0.0
06049,2020-03-03,0.124419,0.1979663076923077,0.11202643589743591,0.0,0.0,0.126265,0.17915015384615382,0.10891543589743588
06051,2020-03-03,0.202429,0.1979663076923077,0.11202643589743591,0.0,0.0,0.231481,0.17915015384615382,0.10891543589743588
06053,2020-03-03,0.039884,0.1979663076923077,0.31307,0.0,0.0,0.042413,0.17915015384615382,0.34564
06055,2020-03-03,0.046003,0.1979663076923077,0.700802,0.0,0.0,0.045815,0.17915015384615382,0.65724
06059,2020-03-03,0.003883,0.253461,0.098592,0.0,2.0,0.004292,0.219764,0.098592
06061,2020-03-03,0.031164,0.428251,0.0,0.0,1.0,0.033245,0.395757,0.0
06063,2020-03-03,0.082651,0.1979663076923077,0.11202643589743591,0.0,0.0,0.08308,0.17915015384615382,0.10891543589743588
06065,2020-03-03,0.009859,0.09886,0.0,0.0,0.0,0.011418,0.098116,0.0
06067,2020-03-03,0.008748,0.146017,0.0,0.0,0.0,0.009784,0.145136,0.0
06069,2020-03-03,0.205688,0.1979663076923077,1.027733,0.0,0.0,0.219631,0.17915015384615382,0.921278
06071,2020-03-03,0.009459,0.143434,0.202547,0.0,0.0,0.011208,0.147255,0.0
06073,2020-03-03,0.002906,0.087916,0.0,0.0,0.0,0.003198,0.086305,0.0
